organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Medical Rehab Center,physiotherapist,,physiotherapist,,37-19 108th Street,,40.7534684,-73.8599787,1.04
Sols Pharmacy,pharmacy,pharmacy,pharmacy,,107-18 37th Drive,Flushing,40.7529858,-73.8602129,1.04
Muslim Center Junior High School,school,school,,,137-58 Geranium Avenue,Flushing,40.7507697,-73.8207535,1.05
Plaza del Sol Family Health Center,hospital,hospital,hospital,,3702 108th Street,Flushing,40.7536455,-73.8605021,1.06
New Franklin Center for Rehabilitation & Nursing,social_facility,social_facility,,nursing_home,142-27 Franklin Avenue,Flushing,40.7570988,-73.8229323,1.06
Public School 20,school,school,,,,,40.7584827,-73.8241083,1.06
High School Of Arts & Business,school,school,,,,,40.7376895,-73.8534189,1.07
Corona Gynecological Medical Service,doctors,doctors,doctor,,,,40.7497521,-73.8614873,1.08
Helen M. Marshall School,school,school,,,,,40.7575944,-73.8589191,1.09
E Plant Dental,dentist,dentist,dentist,,143-02 Sanford Avenue,,40.7581304,-73.8228364,1.1
First Pharmacy,pharmacy,pharmacy,pharmacy,,41-65 Bowne Street,,40.7578418,-73.822707,1.1
Helen R Scheuer House,social_facility,social_facility,,nursing_home,,,40.7519299,-73.8200667,1.1
Selfhelp Benjamin Rosenthal Senior Center,social_facility,social_facility,,nursing_home,45-25 Kissena Boulevard,,40.7518235,-73.8197479,1.11
Cirrus Health,doctors,doctors,doctor,,105-55 62nd Drive,,40.7357294,-73.8512354,1.12
Harry and Jeanette Weinberg Apts,social_facility,social_facility,,nursing_home,45-35 Kissena Boulevard,,40.7516095,-73.8194587,1.12
Public School 220 Edward Mandel,school,school,,,,,40.7363039,-73.8527098,1.12
Shiuann Rong Chen DDS,dentist,dentist,dentist,,41-07 Bowne Street,,40.7597423,-73.8234255,1.14
NY Smile Creators,dentist,dentist,dentist,,143-05 41st Avenue,,40.7602173,-73.823617,1.15
Forest Hills Medical Services,clinic,clinic,clinic,,108-16 63rd Road,Forest Hills,40.7343522,-73.8495874,1.16
VIVA EVE: Fibroid Treatment Specialists,clinic,clinic,clinic,,108-18 63rd Road,Forest Hills,40.7343565,-73.8495698,1.16
