organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
Police Athletic League,social_facility,social_facility,,outreach,,,40.6773601,-73.8968173,5.8
Tri-Road Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.8188222,-73.9039008,5.8
Boynton Dental,dentist,dentist,dentist,,1537 Westchester Avenue,,40.8288026,-73.8784938,5.8
Creedmoor Psychiatric Center,hospital,hospital,hospital,,79-25 Winchester Boulevard,Queens Village,40.7410898,-73.7306799,5.8
Public School 136,school,school,,,201-15 115th Avenue,Queens,40.698944,-73.7526956,5.8
Circle Pharmacy,pharmacy,pharmacy,pharmacy,,116 Hugh Grant Circle,,40.8324966,-73.8611155,5.81
Dello Russo Laservision,doctors,doctors,doctor,,1755 York Avenue,,40.7797122,-73.944625,5.81
The Dermatology Specialists,doctors,doctors,doctor,,10-41 47th Avenue,,40.7453244,-73.9516579,5.81
Junior High School 30,school,school,,,,,40.8101008,-73.9184702,5.82
Public School Number 40,school,school,,,,,40.8090397,-73.9199135,5.82
Community Healthcare Network,clinic,clinic,clinic,,975 Westchester Avenue,Bronx,40.8232115,-73.8952716,5.82
Saint Catherine of Sienna School,school,school,,,118-34 Riverton Street,,40.6892212,-73.7636196,5.82
Junior High School 99,school,school,,,,,40.785175,-73.9420183,5.83
LIC Physical Therapy,physiotherapist,,physiotherapist,,10-43 48th Avenue,Long Island City,40.743884,-73.9519467,5.83
Walgreens,pharmacy,pharmacy,pharmacy,,1031 Westchester Avenue,,40.8244176,-73.8927344,5.83
Intermediate School 584,school,school,,,600 Saint Ann's Avenue,Bronx,40.8148953,-73.9120256,5.84
Academy of Environmental Science,school,school,,,,,40.7852603,-73.9421993,5.84
Jill Chaifetz Transfer High School,school,school,,,,,40.8188475,-73.9050629,5.84
Montefiore South Bronx Center Children and Families,clinic,clinic,clinic,,871 Prospect Avenue,Bronx,40.8207004,-73.9015657,5.84
Apteka Pharmacy,pharmacy,pharmacy,pharmacy,,151 Nassau Avenue,,40.7250168,-73.9473525,5.84
Boca Pharmacy,pharmacy,pharmacy,pharmacy,,1070 Southern Boulevard,,40.8250652,-73.8916894,5.84
University Prep Charter High School,school,school,,,600 Saint Ann's Avenue,Bronx,40.8148613,-73.9119079,5.84
Duane Reade,pharmacy,pharmacy,pharmacy,,,,40.761067,-73.7302188,5.84
Leaf Medical,clinic,clinic,clinic,,10-29 47th Road,,40.7447778,-73.9521117,5.84
Public School 232,school,school,,,,,40.6655945,-73.8507005,5.84
Head Start,school,school,,,490 East 143rd Street,Bronx,40.8110705,-73.9178329,5.85
Middle School 224,school,school,,,,,40.785306,-73.9423388,5.85
Hostos-Lincoln Acedemy of Science,school,school,,,600 Saint Ann's Avenue,Bronx,40.8148805,-73.9121778,5.85
Clinica Del Barrio,clinic,clinic,clinic,,,,40.7983879,-73.9324463,5.85
Public School X017,school,school,,,,,40.8191274,-73.905337,5.86
LIC Chiropractic,alternative,,alternative,,,,40.7454752,-73.9525332,5.86
My Treehouse,kindergarten,kindergarten,,,,,40.7466052,-73.9526499,5.86
Creedmor Psychiatric Center,hospital,hospital,hospital,,,,40.7366737,-73.7302024,5.86
Williamsburg Dental Works,dentist,dentist,dentist,,,,40.7182004,-73.9448532,5.87
Bellerose Rescue,yes,,yes,,,,40.7278561,-73.732515,5.87
Home Choice NY,social_facility,social_facility,,nursing_home,2011 Westchester Avenue,Bronx,40.8338728,-73.8573014,5.87
The Dermatology Specialists,doctors,doctors,doctor,,1915 Westchester Avenue,Bronx,40.8334538,-73.8600651,5.87
Public School 196,school,school,,,,,40.7088331,-73.9391231,5.87
Patten Hall,clinic,clinic,clinic,,300 Steamboat Road,Kings Point,40.8101477,-73.7617085,5.87
Greenpoint Doctors MGMT INC,doctors,doctors,doctor,,146 Norman Ave,Brooklyn,40.7263117,-73.9486754,5.88
"Physical Medicine & Rehabilitation of NY, P.C.",clinic,clinic,clinic,,,,40.68266,-73.9097697,5.88
Preferred Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6826414,-73.9097384,5.88
A-Plus Care,yes,,yes,,,,40.682946,-73.9102386,5.88
East Harlem Village Academy Charter School,school,school,,,,,40.7987353,-73.9330552,5.89
Fine Care Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.6854984,-73.9146981,5.89
GOSO SAVE,counselling,,counselling,,2310 1st Avenue,New York,40.7975682,-73.9340355,5.89
Yolanda Lopez Housing for the Elderly,social_facility,social_facility,,nursing_home,78 Troutman Street,,40.6985675,-73.9307651,5.89
Cutter Mill School,school,school,,,,,40.7775029,-73.7341077,5.9
Junior High School 133,school,school,,,,,40.82306,-73.89889,5.9
Saint Marys School,school,school,,,10-08 49th Avenue,,40.7430624,-73.9531269,5.9
Tribeca Pediatrics,doctors,doctors,doctor,,47-27 Vernon Boulevard,,40.7446691,-73.9533013,5.9
Saint Helena School,school,school,,,2050 Benedict Avenue,,40.8345195,-73.8550562,5.9
Vision World,optometrist,,optometrist,,1324 Metropolitan Avenue,Bronx,40.833853,-73.8606705,5.9
Bronx Pharmacy,pharmacy,pharmacy,pharmacy,,1320 Metropolitan Avenue,Bronx,40.8338126,-73.8606597,5.9
Williamsburg Snap Center,social_facility,social_facility,,outreach,2 George Street,Brooklyn,40.7001609,-73.9324817,5.9
Parkchester Dental Group,dentist,dentist,dentist,,7 Hugh J. Grant Circle,Bronx,40.8337957,-73.8615467,5.9
Junior High School 64,school,school,,,,,40.6695747,-73.8791737,5.9
Yorkville Community School,school,school,,,421 East 88th Street,New York,40.7780616,-73.9474884,5.91
Saldo Drugs,pharmacy,pharmacy,pharmacy,,,,40.7160679,-73.9444531,5.91
Duane Reade,pharmacy,pharmacy,pharmacy,,1498 York Avenue,,40.7714804,-73.9500796,5.91
Community Healthcare Network,clinic,clinic,clinic,,999 Blake Avenue,Brooklyn,40.6699624,-73.8814081,5.91
AdvantageCare Physicians East New York Medical Office,clinic,clinic,,,101 Pennsylvania Avenue,,40.6752876,-73.8963758,5.91
East New York Health Hub,centre,,centre,,101 Pennsylvania Avenue,,40.6752628,-73.8963431,5.91
Complete Physical Therapy,doctors,doctors,doctor,,134 Norman Avenue,Brooklyn,40.7260653,-73.9492541,5.91
Duane Reade,pharmacy,pharmacy,pharmacy,,425 West Road,,40.75881,-73.9533573,5.92
Emblem Health Neighborhood Care,social_facility,social_facility,,outreach,101 Pennsylvania Avenue,,40.6751913,-73.8963526,5.92
MMG Bronx East,clinic,,clinic,,2300 Westchester Avenue,,40.8352566,-73.8480146,5.92
Vernon Blvd Pharmacy,pharmacy,pharmacy,pharmacy,,48-15 Vernon Boulevard,,40.7436168,-73.9536561,5.92
Health Wise Pharmacy,pharmacy,pharmacy,pharmacy,,1494 York Avenue,,40.771156,-73.9503526,5.92
Broadway Medical Center,centre,,centre,,1534 Broadway,Brooklyn,40.6862448,-73.91663,5.92
Macedonia Pantry,social_facility,social_facility,,food_bank,340 East 106th Street,,40.7897967,-73.9408772,5.92
Saint Joseph's School of Yorkville,school,school,,,420 East 87th Street,,40.7769552,-73.9480092,5.92
Ark Orthodontics,dentist,dentist,dentist,,1332 Metropolitan Avenue,Bronx,40.8343046,-73.8607487,5.93
Unity Drugs,pharmacy,pharmacy,pharmacy,,772,,40.7116525,-73.9423554,5.93
NY Kids Club,school,school,,,345 East 94th Street,,40.782137,-73.9457982,5.93
Betances Health Center,clinic,clinic,clinic,,,,40.68847,-73.9199259,5.93
Lolly's Learning Center,school,school,,,5-44 47th Avenue,,40.7455203,-73.9538893,5.93
Medics Pharmacy,pharmacy,pharmacy,pharmacy,,1740 1st Avenue,,40.7794652,-73.9472671,5.94
Podiatric Medicine,podiatrist,,podiatrist,,1340 Metropolitan Avenue,Bronx,40.8344043,-73.8607531,5.94
Nucare Pharmacy & Surgical,pharmacy,pharmacy,pharmacy,,1789 1st Avenue,,40.7812239,-73.9465087,5.94
Broadway Community Family & Children Health Center,clinic,clinic,clinic,,,,40.6878958,-73.9195301,5.94
Dr. Halina M. Semla-Pulaska,doctors,doctors,doctor,,117 Nassau Avenue,Brooklyn,40.7244501,-73.9492806,5.94
Lycée Français de New-York,school,school,,,,,40.7688378,-73.9515214,5.94
Saints Joachim and Ann School,school,school,,,,,40.7123606,-73.7387762,5.94
Public School 168,school,school,,,,,40.7890867,-73.9419502,5.95
BK Medical Care P.C.,doctors,doctors,doctor,,2000 McGraw Avenue,Bronx,40.8349802,-73.8578908,5.95
Hospital for Special Surgery,hospital,hospital,hospital,,535 East 70th Street,New York,40.765164,-73.9526899,5.95
Marks Home Health Care,yes,,yes,,2002 McGraw Avenue,Bronx,40.8350142,-73.8577756,5.95
School of Cooperative Technical Education,school,school,,,,,40.7838855,-73.9451167,5.95
"""Medyk"" Nassau Medical Center",clinic,clinic,clinic,,115 Nassau Avenue,Brooklyn,40.7244291,-73.9493431,5.95
Glen Oaks Campus,school,school,,,7430 Commonwealth Boulevard,Bellerose,40.7439086,-73.727396,5.95
Association for Neurologically Impaired Brain Injured Children,nursing_home,nursing_home,,childrens_centre,,,40.7491131,-73.7272031,5.95
Saint Johns Evangelical Lutheran School,school,school,,,,,40.7113396,-73.9427699,5.96
City Chemist,pharmacy,pharmacy,pharmacy,,335 Graham Avenue,,40.7143784,-73.9445202,5.96
Montrose Dental Arts,dentist,dentist,dentist,,228 Montrose Avenue,Brooklyn,40.7075203,-73.9399993,5.96
Brooklyn High School for Law and Technology,school,school,,,1396 Broadway,,40.6885596,-73.9208716,5.96
Rite Aid,pharmacy,pharmacy,pharmacy,,,,40.678118,-73.7775292,5.96
Rite Aid,pharmacy,pharmacy,pharmacy,,218-25 Hempstead Avenue,,40.7139472,-73.737165,5.96
Suboxone Treatment Clinic,clinic,clinic,clinic,,3227 East Tremont Avenue,The Bronx,40.8358294,-73.8329761,5.96
Parkchester Family Pharmacy & Surgical,pharmacy,pharmacy,pharmacy,,1445 Unionport Road,Bronx,40.8352981,-73.855356,5.96
Junior High School 37,school,school,,,,,40.8131564,-73.9184702,5.97
Public School 110,school,school,,,,,40.6823255,-73.7695773,5.97
Public School 49,school,school,,,383 East 139th Street,,40.8098698,-73.9228849,5.97
New Explorers High School,school,school,,,,,40.8176882,-73.9114164,5.97
Saint Ann School,school,school,,,314 East 110th Street,,40.7926627,-73.9398111,5.97
Saint John the Evangelist Lutheran School,school,school,,,,,40.7112526,-73.9427495,5.97
Duane Reade,pharmacy,pharmacy,pharmacy,,401 East 86th Street,New York,40.7770297,-73.9489719,5.97
Public School 150,school,school,,,920 East 167th Street,,40.8261025,-73.8943543,5.97
AG Urgent Care,clinic,clinic,clinic,,,,40.690819,-73.9240134,5.97
McGraw Pharmacy,pharmacy,pharmacy,pharmacy,,2048 McGraw Avenue,Bronx,40.8354186,-73.8561773,5.97
High School for Climate Justice,school,school,,,320 East 96th Street,,40.7832848,-73.9459341,5.97
Polish American Pharmacy,pharmacy,pharmacy,pharmacy,,566 Leonard Street,Brooklyn,40.7242353,-73.9497641,5.97
NYC Health + Hospitals/Metropolitan,hospital,hospital,hospital,,1901 1st Avenue,New York,40.7850572,-73.9449502,5.97
Junior High School 126,school,school,,,,,40.7199842,-73.9479055,5.97
Dodge Vocational High School,school,school,,,,,40.8178785,-73.9115255,5.98
Public School 157,school,school,,,,,40.8192674,-73.9090254,5.98
High School for Careers In Sports,school,school,,,,,40.8178002,-73.9113952,5.98
Saint Stephen of Hungary School,school,school,,,,,40.7737335,-73.9505729,5.98
DaVita Melrose Dialysis,dialysis,,dialysis,,459 East 149th Street,Bronx,40.8153155,-73.9154358,5.98
Mount Sinai Doctors 77th Street Urology,doctors,doctors,doctor,,,,40.7703561,-73.9517212,5.98
SLim Dental Kids,dentist,dentist,dentist,,1400 York Avenue,,40.7683481,-73.9524186,5.98
Earth Angel Crystal,alternative,,alternative,,5-48 50th Avenue,,40.7427489,-73.9547464,5.98
Howard Beach Dental Associates,dentist,dentist,dentist,,156-36 Cross Bay Boulevard,,40.6632253,-73.8412716,5.98
New Horizon Counseling Center,counselling,,counselling,,,,40.6633137,-73.8412088,5.98
"Edward Fox, DDS",dentist,dentist,dentist,,108 Norman Avenue,,40.7256551,-73.9504758,5.98
Public School 147,school,school,,,,,40.7054219,-73.9388593,5.98
Monroe High School,school,school,,,,,40.831714,-73.878256,5.99
Bronx Coalition Community High School,school,school,,,,,40.8316834,-73.8785217,5.99
NY Kids Club,kindergarten,kindergarten,,,,,40.7475223,-73.9552146,5.99
VistaSite Eye Care,optometrist,,optometrist,,,,40.8154056,-73.9156514,5.99
Greenpoint Public Library,social_facility,social_facility,,outreach,107 Norman Ave,Brooklyn,40.7260458,-73.9508405,5.99
Linden Orthopaedics,hospital,,hospital,,200-01,St. Albans,40.6946044,-73.7525648,5.99
Brilla College Prep Public Charter School,school,school,,,413 East 144th Street,,40.812781,-73.9193402,5.99
Demczuk & Pawlik Medical Office,doctors,doctors,doctor,,557 Leonard Street,Brooklyn,40.7238464,-73.9500135,5.99
Murawski Pharmacy,pharmacy,pharmacy,pharmacy,,94 Nassau Avenue,Brooklyn,40.7238962,-73.9500421,5.99
East Harlem School at Exodus House,school,school,,,,,40.7886111,-73.9433333,6.0
School Settlement Association,school,school,,,120 Jackson St,,40.716371,-73.9466013,6.0
Greenpoint Foot & Ankle,doctors,doctors,doctor,,102 Norman Avenue,Brooklyn,40.7255839,-73.9509477,6.0
Starling Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.8358808,-73.8552381,6.0
Diamond Braces,dentist,dentist,dentist,,1376 Metropolitan Avenue,Bronx,40.8353139,-73.8608141,6.0
School Settlement Home Attendant Services,social_facility,social_facility,,outreach,,,40.716348,-73.9466112,6.0
iSmile Dental,dentist,dentist,doctor,,99 Nassau Avenue,,40.7240705,-73.9502007,6.0
UMD Urgent Care,clinic,clinic,clinic,,,,40.7430137,-73.9550317,6.0
P.S. 132 The Conselyea School,school,school,,,320 Manhattan Avenue,,40.7147768,-73.9456725,6.0
Rhinelander Children's Center,school,school,,,350 East 88th Street,,40.7782534,-73.9491907,6.0
Parish School of Saints Cyril and Methodius,school,school,,,150 Dupont Street,,40.7358035,-73.9539254,6.0
Trevor Day School,school,school,,,312 East 95th Street,,40.7829758,-73.9467712,6.0
Public School 154,school,school,,,,,40.8082886,-73.9258533,6.01
X550 High School of World Cultures,school,school,,,,,40.8319625,-73.8783274,6.01
Monroe Academy for Visual Arts and Design,school,school,,,,,40.8318832,-73.8786792,6.01
Nature's Prescriptions,pharmacy,pharmacy,pharmacy,,,,40.7430619,-73.9552916,6.01
Broadway Family Health Center,centre,,centre,,1238 Broadway,,40.6915479,-73.9259291,6.01
Wyckoff Drugs,pharmacy,pharmacy,pharmacy,,1226 Broadway,,40.6917106,-73.926208,6.01
SacredWaters,alternative,,alternative,,5-35 51st Avenue,Long Island City,40.7423077,-73.9551712,6.01
Charlie Pharmacy,pharmacy,pharmacy,pharmacy,,2034 2nd Avenue,,40.7896477,-73.9429117,6.01
Drug Stop Pharmacy,pharmacy,pharmacy,pharmacy,,2062 2nd Avenue,,40.7904139,-73.9423531,6.01
NYC Health + Hospitals/Gotham Health,clinic,clinic,clinic,,279 Graham Avenue,Brooklyn,40.7120701,-73.9442839,6.01
Norman Orthodontic Center,dentist,dentist,dentist,,98 Norman Avenue,Brooklyn,40.7254334,-73.9510796,6.01
"PS/IS 78Q The Robert F. Wagner, Jr. School",school,school,,,46-08 5th Street,Long Island City,40.7472085,-73.955592,6.01
NewYork-Presbyterian / Weill Cornell Medical Center,hospital,hospital,hospital,,525 East 68th Street,New York,40.7647343,-73.95394,6.01
New York City Children's Center - Queens Campus,hospital,hospital,hospital,,74-03 Commonwealth Boulevard,Bellerose,40.7458874,-73.7260227,6.01
Bronx Little School,school,school,,,,,40.832091,-73.8786622,6.02
Monroe Academy for Business and Law,school,school,,,,,40.832025,-73.8786665,6.02
Our Lady of Good Counsel School,school,school,,,,,40.7808333,-73.9483333,6.02
Optometric Associates,optometrist,,optometrist,,5-27 50th Avenue,,40.7430746,-73.9553828,6.02
Mishkin's Pharmacy,pharmacy,pharmacy,pharmacy,,1153 Broadway,,40.6932155,-73.9283323,6.02
After Hours Project,clinic,clinic,clinic,,1204 Broadway,,40.6920815,-73.9269282,6.02
Health Mart,pharmacy,pharmacy,pharmacy,,1938 2nd Avenue,,40.7866367,-73.9451091,6.02
MetroRX Specialty Pharmacy,pharmacy,pharmacy,pharmacy,,300 East 102nd Street,,40.7878839,-73.9441897,6.02
Zipcare Urgent Care,clinic,clinic,clinic,,1976 2nd Avenue,New York,40.7877103,-73.9443244,6.02
Uptown Care,pharmacy,pharmacy,pharmacy,,2254 2nd Avenue,,40.7966869,-73.9377744,6.02
Ultimate Care,social_facility,social_facility,,nursing_home,1000 Gates Avenue,Brooklyn,40.6891528,-73.9234313,6.02
Brooklyn Landmark Elementary School,school,school,,,251 MacDougal Street,Brooklyn,40.6806869,-73.9107208,6.02
P.S. 124 Osmond A. Church,school,school,,,,,40.6656688,-73.8112759,6.02
Hale A Woodruff,school,school,,,757 Wortman Avenue,,40.6647548,-73.865926,6.02
Gracie Square Hospital,hospital,hospital,hospital,,420 East 76th Street,New York,40.7697091,-73.9529748,6.03
Pediatric Immediate Care,doctor,,doctor,,698 Manhattan Avenue,,40.7253942,-73.9514461,6.03
Rockwood Park,alternative,,alternative,,91-17 157th Avenue,,40.6625153,-73.8419519,6.03
Hospital for Special Surgery 75th Street Campus,clinic,clinic,clinic,,429 East 75th Street,,40.7692428,-73.9531315,6.03
"Charles Ptak, DDS",dentist,dentist,dentist,,92 Norman Avenue,Brooklyn,40.7253712,-73.951337,6.03
P.S. 045 Clarence Witherspoon,school,school,,,,,40.6718811,-73.7888699,6.03
Grace School,school,school,,,,,40.7148249,-73.7351319,6.04
Second Avenue Pharmacy,pharmacy,pharmacy,pharmacy,,2243 2nd Avenue,,40.7964933,-73.9383659,6.04
Iris House,clinic,clinic,clinic,,2271 2nd Avenue,New York,40.7974623,-73.937656,6.04
CityMD,clinic,clinic,clinic,,336 East 86th Street,New York,40.7771603,-73.9504427,6.04
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,1569 1st Avenue,,40.7741804,-73.9515921,6.04
"Ambulatory Care Clinic, Hospital for Special Surgery",clinic,clinic,clinic,,475 East 72nd Street,,40.7671394,-73.953981,6.04
Polish & Slavic Center,social_facility,social_facility,,outreach,176 Java Street,Brooklyn,40.7315571,-73.9535516,6.04
Brooklyn Public Library,social_facility,social_facility,,outreach,,,40.7046201,-73.9395978,6.04
Diana H. Jones Older Adult Center,social_facility,social_facility,,day_care,9 Noll Street,Brooklyn,40.7004572,-73.9360827,6.04
Intermediate School 292,school,school,,,,,40.6718768,-73.8934104,6.05
Euro Chemist Pharmacy,pharmacy,pharmacy,pharmacy,,669 Manhattan Avenue,Brooklyn,40.7246968,-73.9514908,6.05
Life Balance NY,alternative,,alternative,,1134 Broadway,,40.6934657,-73.9293159,6.05
Eleanor Roosevelt High School,school,school,,,411 East 76th Street,New York,40.7702631,-73.9532787,6.05
Glenridge Medical Associates,doctors,doctors,doctor,,585 Bushwick Avenue,,40.6990022,-73.9349523,6.05
Northwell Health-GoHealth Urgent Care,clinic,clinic,clinic,,1555 1st Avenue,,40.7735939,-73.9520108,6.05
Bio Dynamic Orthotics & Prosthetics,clinic,clinic,clinic,,431 East 73rd Street,,40.7678921,-73.9538621,6.05
Greenpoint Eye Care,optometrist,,optometrist,,675 Manhattan Avenue,,40.7248519,-73.9515521,6.05
Mary Manning Walsh Home,social_facility,social_facility,,group_home,1339 York Avenue,,40.7666203,-73.9543268,6.05
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,157-05 Cross Bay Boulevard,,40.6622989,-73.8400948,6.05
August Martin High School,school,school,,,,,40.6741333,-73.7826874,6.05
Inspīr,social_facility,social_facility,,assisted_living,1802 2nd Avenue,,40.7824857,-73.9479735,6.05
Rockefeller University Hospital,hospital,hospital,hospital,,1230 York Avenue,New York,40.7620381,-73.9553606,6.06
Middle School 149,school,school,,,360 East 145th Street,,40.8136604,-73.9202945,6.06
Family Dentist,dentist,dentist,dentist,,247 East 116th Street,New York,40.7973261,-73.9381479,6.06
LIC Dental Associates,dentist,dentist,dentist,,2-49 51st Avenue,Long Island City,40.7433354,-73.9562362,6.06
Oculist Eye & Vision Care,optometrist,,optometrist,,1760 2nd Avenue,,40.7814614,-73.9488848,6.06
Metropolitan Drugs,pharmacy,pharmacy,pharmacy,,1873 2nd Avenue,,40.7847265,-73.9469659,6.06
EZ Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7129479,-73.7357379,6.06
North Brooklyn Dental Care,dentist,dentist,dentist,,169 Kent Street,Brooklyn,40.7310584,-73.9539382,6.06
Designer Optical,optometrist,,optometrist,,1440 Metropolitan Avenue,Bronx,40.8361802,-73.860782,6.06
At Home Solutions,homecare,,homecare,,1516 Unionport Road,Bronx,40.8366528,-73.8566508,6.06
Century Medical & Dental Center,clinic,clinic,clinic,,425 Westchester Avenue,Bronx,40.8167605,-73.9156573,6.06
Trey Whitfield School,school,school,,,17 Hinsdale Street,Brooklyn,40.6749701,-73.9009909,6.06
Junior Academy,school,school,,,,,40.6895474,-73.9251373,6.07
The Herman J. Stich Medical Building,clinic,clinic,clinic,,1315 York Avenue,,40.7659059,-73.9548792,6.07
East Harlem Pharmacy,pharmacy,pharmacy,pharmacy,,2371 2nd Avenue,New York,40.8007155,-73.9352849,6.07
Manhattan Avenue Health Center,clinic,clinic,clinic,,960 Manhattan Avenue,Brooklyn,40.7320821,-73.9543806,6.07
Weill Cornell Internal Medicine Associates at Wright,clinic,clinic,clinic,,,,40.771189,-73.9532527,6.07
Public School 38,school,school,,,232 East 103rd Street,,40.7886835,-73.9447631,6.07
Esperanza Preparatory Academy,school,school,,,240 East 109th Street,,40.7925858,-73.9421198,6.07
Campus Magnet Educational Campus,school,school,,,,,40.6987917,-73.7463149,6.07
Harlem East Life Plan,clinic,clinic,clinic,,2nd Avenue,,40.8006269,-73.9355022,6.07
Queens Center for Progress,school,school,,,,,40.7512775,-73.724934,6.07
Intermediate School 84,school,school,,,,,40.8304933,-73.8868271,6.07
"Math, Science, Research and Technology Magnet High School",school,school,,,,,40.6986943,-73.7462363,6.08
UFT Elementary Charter School,school,school,,,,,40.6713889,-73.8933333,6.08
Jill Roberts Center for Inflammatory Bowel Disease,clinic,clinic,clinic,,1315 York Avenue,,40.7659224,-73.9549182,6.08
Rosedale Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.8348901,-73.8701599,6.08
Lorven Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7314488,-73.9543091,6.08
Urgent Care,centre,,centre,,1729 East 174th Street,,40.8348529,-73.8703322,6.08
Sisto Pharmacy,pharmacy,pharmacy,pharmacy,,682 Grand Street,Brooklyn,40.7113615,-73.9451536,6.08
Pain Medicine,doctors,doctors,doctor,,,,40.7129871,-73.7353016,6.08
Hospital for Special Surgery clinic,clinic,clinic,clinic,,405 East 75th Street,,40.7696165,-73.9540138,6.08
Ivy Rehab,physiotherapist,,physiotherapist,,880 Manhattan Avenue,Greenpoint,40.729725,-73.9539283,6.08
Weill Cornell Medicine,clinic,clinic,clinic,,428 East 72nd Street,,40.767009,-73.9547002,6.08
Dream Charter School,school,school,,,20 Bruckner Boulevard,Bronx,40.8072087,-73.9288377,6.08
Park South Medical,doctors,doctors,doctor,,1545 Unionport Road,Bronx,40.8368254,-73.857557,6.08
Park South Dental Associates,dentist,dentist,dentist,,1530 Unionport Road,Bronx,40.8368844,-73.8570063,6.08
Jill Roberts Center for Inflammatory Bowel Disease,clinic,clinic,clinic,,1315 York Avenue,,40.765956,-73.9549977,6.08
Jill Roberts Center for Inflammatory Bowel Disease,clinic,clinic,clinic,,1315 York Avenue,,40.7659392,-73.954958,6.08
Park East High School,school,school,,,230 East 105th Street,,40.7901894,-73.9440938,6.08
Temple Israel School,school,school,,,,,40.7953791,-73.741243,6.09
Magnet School of Law and Government,school,school,,,,,40.6984892,-73.746167,6.09
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.7293746,-73.9540602,6.09
Democracy Prep Public Schools,school,school,,,240 East 123rd Street,New York,40.8015727,-73.9351046,6.09
Markowa Apteka Pharmacy,pharmacy,pharmacy,pharmacy,,831 Manhattan Avenue,Brooklyn,40.7285561,-73.9536492,6.09
National Dental,dentist,dentist,dentist,,1485 1st Avenue,,40.7713982,-73.9536162,6.09
MMG Via Verde,clinic,clinic,clinic,,730 Brook Avenue,Bronx,40.8194339,-73.912171,6.09
"Homebase, Riseborough Community Partnership",social_facility,social_facility,,shelter,90 Beaver Street,Brooklyn,40.6999027,-73.9366434,6.09
Public School 202,school,school,,,,,40.6658175,-73.876086,6.09
Public School 83,school,school,,,,,40.7933232,-73.9419453,6.09
Brooklyn Latin School,school,school,,,223 Graham Avenue,Brooklyn,40.7097908,-73.944484,6.09
Business and Computer Applications High School,school,school,,,,,40.6983435,-73.7461133,6.1
Duane Reade,pharmacy,pharmacy,pharmacy,,893 Manhattan Avenue,,40.7299836,-73.9543036,6.1
"Gotham Health, East New York",clinic,clinic,clinic,,2094 Pitkin Avenue,Brooklyn,40.6717772,-73.8953137,6.1
GST Pharmacy,pharmacy,pharmacy,pharmacy,,669 Grand Street,Brooklyn,40.7115957,-73.9457911,6.1
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,305 East 86th Street,,40.7781479,-73.9512383,6.1
Quest Diagnostics,laboratory,,laboratory,,224 East 96th Street,,40.784408,-73.9480547,6.1
Starling Diagnostics,doctors,doctors,doctor,,1480 East Avenue,Bronx,40.836826,-73.8599374,6.1
CityMD Urgent Care,clinic,clinic,clinic,,1470 Metropolitan Avenue,Bronx,40.8368632,-73.8605525,6.1
NYC Health + Hospitals/ Gotham Health,clinic,clinic,clinic,,875 Manhattan Avenue,Brooklyn,40.7296266,-73.9543161,6.1
Public School 120,school,school,,,,,40.7006514,-73.9376742,6.1
Fannie Lou Hamer Freedom High School,school,school,,,1021 Jennings Street,Bronx,40.8312014,-73.8858129,6.1
Public School 190,school,school,,,,,40.7751107,-73.9526983,6.11
Humanities and the Arts Magnet High School,school,school,,,,,40.6981994,-73.746082,6.11
Lyons Community School,school,school,,,223 Graham Avenue,Brooklyn,40.7095462,-73.9447343,6.11
Smile Up Pediatric Dentistry & Orthodontics,dentist,dentist,dentist,,325 East 79th Street,New York,40.7729555,-73.953571,6.11
New York Presbyterian Alexandra Cohen Hospital for Women and Newborns,hospital,hospital,hospital,,1283 York Avenue,,40.7645657,-73.955956,6.11
nyfamilydocs,doctors,doctors,doctor,,,,40.70513,-73.7401872,6.11
Casson Pharmacy,pharmacy,pharmacy,pharmacy,,,,40.705003,-73.7402223,6.11
Liberty Rhea Ranada Ebarle Physical Therapy,physiotherapist,,physiotherapist,,14 Bruckner Boulevard,Bronx,40.8074074,-73.9292799,6.11
Apex School of Criminology,school,school,,,,,40.8080448,-73.9289536,6.12
Public School 290,school,school,,,,,40.7751724,-73.9529245,6.12
MedRite Urgent Care,clinic,clinic,clinic,,1646 2nd Avenue,,40.7773764,-73.9518857,6.12
Hypertension Center,clinic,clinic,clinic,,424 East 70th Street,,40.7659053,-73.9558158,6.12
ACA Acupuncture & Wellness,clinic,clinic,alternative,,414 East 71st Street,,40.7666715,-73.9556804,6.12
HiteSite,social_facility,social_facility,,outreach,1149 Myrtle Avenue,Brooklyn,40.6971592,-73.9348742,6.12
Public School/Intermediate School 155 Nicholas Herkimer,school,school,,,13355 Herkimer Street,Brooklyn,40.6776429,-73.9086968,6.12
PS/IS 78Q Early Childhood Center,school,school,,,48-09 Center Boulevard,Long Island City,40.744326,-73.957666,6.13
